,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
,Brobnar,COTA,,,,16,10,21,1,1,18,0,2,0,0,79.75,,,,,,,,,,,,,,
Anger,Brobnar,COTA,C,Action,3,1,,1,,,,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Coward’s End,Brobnar,COTA,C,Action,3,,,1,,,,,1,,,3,,-1,-3,-5,-7,,5,2.5,5,1.7,3,0.75,-1,-0.2
Loot the Bodies,Brobnar,COTA,C,Action,3,1,,,,,,,,,,3,,-1,-2,-3,-4,,5,2.5,6,2.0,6,1.5,5,1
Punch,Brobnar,COTA,C,Action,3,1,,1,,,,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Tremor,Brobnar,COTA,C,Action,2,,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Warsong,Brobnar,COTA,C,Action,2,1,,,,,,,,,,2,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Gauntlet of Command,Brobnar,COTA,C,Artifact,3,1,,1,,,,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Valdr,Brobnar,COTA,C,Creature,2,,,,,,1,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Bumpsy,Brobnar,COTA,C,Creature,4,,1,,,,1,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Firespitter,Brobnar,COTA,C,Creature,3,,,1,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ganger Chieftain,Brobnar,COTA,C,Creature,4,,,1,,,1,,,,,4,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Headhunter,Brobnar,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Krump,Brobnar,COTA,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Smaaash,Brobnar,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Troll,Brobnar,COTA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Wardrummer,Brobnar,COTA,C,Creature,3,,,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Blood Money,Brobnar,COTA,U,Action,2,1,,,,,,,,,,1,,0,0,0,0,c,4,2,6,2.0,8,2,10,2
Burn the Stockpile,Brobnar,COTA,U,Action,4,,1,,,,,,,,,2,,-1,-3,-3,-3,,7,3.5,8,2.7,9,2.25,10,2
Follow the Leader,Brobnar,COTA,U,Action,1,,,1,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Relentless Assault,Brobnar,COTA,U,Action,4,,,1,,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Smith,Brobnar,COTA,U,Action,3,1,,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sound the Horns,Brobnar,COTA,U,Action,4,1,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Unguarded Camp,Brobnar,COTA,U,Action,2,1,1,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
